"Plot Title: PPW1350_10319261"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10319261, SEN S/N: 10319261)","RH, % (LGR S/N: 10319261, SEN S/N: 10319261)","Coupler Detached (LGR S/N: 10319261)","Bad Battery (LGR S/N: 10319261)","Good Battery (LGR S/N: 10319261)","End Of File (LGR S/N: 10319261)"
105,06/28/13 06:00:00 PM,35.022,23.099,,,,
106,06/28/13 06:30:00 PM,34.202,26.065,,,,
107,06/28/13 07:00:00 PM,32.742,29.291,,,,
108,06/28/13 07:30:00 PM,30.950,28.046,,,,
109,06/28/13 08:00:00 PM,28.394,40.784,,,,
110,06/28/13 08:30:00 PM,26.891,40.951,,,,
111,06/28/13 09:00:00 PM,25.647,46.543,,,,
112,06/28/13 09:30:00 PM,25.210,47.198,,,,
113,06/28/13 10:00:00 PM,25.647,44.115,,,,
114,06/28/13 10:30:00 PM,26.426,39.517,,,,
115,06/28/13 11:00:00 PM,24.508,48.424,,,,
116,06/28/13 11:30:00 PM,23.954,49.850,,,,
117,06/29/13 12:00:00 AM,22.800,52.882,,,,
118,06/29/13 12:30:00 AM,22.058,55.458,,,,
119,06/29/13 01:00:00 AM,20.865,61.011,,,,
120,06/29/13 01:30:00 AM,20.365,61.566,,,,
121,06/29/13 02:00:00 AM,19.246,66.194,,,,
122,06/29/13 02:30:00 AM,18.771,67.821,,,,
123,06/29/13 03:00:00 AM,18.224,70.002,,,,
124,06/29/13 03:30:00 AM,17.891,70.201,,,,
125,06/29/13 04:00:00 AM,17.439,74.433,,,,
126,06/29/13 04:30:00 AM,16.868,76.503,,,,
127,06/29/13 05:00:00 AM,17.106,78.971,,,,
128,06/29/13 05:30:00 AM,18.461,72.972,,,,
129,06/29/13 06:00:00 AM,18.461,71.643,,,,
130,06/29/13 06:30:00 AM,19.698,66.184,,,,
131,06/29/13 07:00:00 AM,20.674,60.373,,,,
132,06/29/13 07:30:00 AM,21.199,58.901,,,,
133,06/29/13 08:00:00 AM,21.604,59.515,,,,
134,06/29/13 08:30:00 AM,22.298,58.243,,,,
135,06/29/13 09:00:00 AM,23.208,56.248,,,,
136,06/29/13 09:30:00 AM,24.557,53.882,,,,
137,06/29/13 10:00:00 AM,25.987,50.149,,,,
138,06/29/13 10:30:00 AM,27.358,44.282,,,,
139,06/29/13 11:00:00 AM,28.667,41.640,,,,
140,06/29/13 11:30:00 AM,30.066,38.097,,,,
141,06/29/13 12:00:00 PM,31.281,38.152,,,,
142,06/29/13 12:30:00 PM,32.587,36.256,,,,
143,06/29/13 01:00:00 PM,33.757,32.303,,,,
144,06/29/13 01:30:00 PM,34.810,30.703,,,,
145,06/29/13 02:00:00 PM,35.689,31.087,,,,
146,06/29/13 02:30:00 PM,36.633,25.747,,,,
147,06/29/13 03:00:00 PM,36.796,28.846,,,,
148,06/29/13 03:30:00 PM,37.069,27.957,,,,
149,06/29/13 04:00:00 PM,37.042,28.165,,,,
150,06/29/13 04:30:00 PM,36.552,28.792,,,,
151,06/29/13 05:00:00 PM,36.335,31.280,,,,
152,06/29/13 05:30:00 PM,35.102,30.935,,,,
153,06/29/13 06:00:00 PM,34.202,33.303,,,,
154,06/29/13 06:30:00 PM,34.176,29.613,,,,
155,06/29/13 07:00:00 PM,34.045,25.214,,,,
156,06/29/13 07:30:00 PM,32.510,28.235,,,,
157,06/29/13 08:00:00 PM,31.001,30.354,,,,
158,06/29/13 08:30:00 PM,30.217,31.008,,,,
159,06/29/13 09:00:00 PM,29.540,30.951,,,,
160,06/29/13 09:30:00 PM,27.702,35.017,,,,
161,06/29/13 10:00:00 PM,25.477,44.127,,,,
162,06/29/13 10:30:00 PM,25.695,42.066,,,,
163,06/29/13 11:00:00 PM,24.629,45.903,,,,
164,06/29/13 11:30:00 PM,22.800,52.159,,,,
165,06/30/13 12:00:00 AM,21.772,56.499,,,,
166,06/30/13 12:30:00 AM,20.960,59.109,,,,
167,06/30/13 01:00:00 AM,20.222,62.146,,,,
168,06/30/13 01:30:00 AM,19.603,63.815,,,,
169,06/30/13 02:00:00 AM,19.032,66.422,,,,
170,06/30/13 02:30:00 AM,18.604,68.143,,,,
171,06/30/13 03:00:00 AM,18.105,69.776,,,,
172,06/30/13 03:30:00 AM,17.605,71.999,,,,
173,06/30/13 04:00:00 AM,17.320,73.151,,,,
174,06/30/13 04:30:00 AM,16.844,74.826,,,,
175,06/30/13 05:00:00 AM,16.773,76.173,,,,
176,06/30/13 05:30:00 AM,16.463,78.359,,,,
177,06/30/13 06:00:00 AM,16.344,77.661,,,,
178,06/30/13 06:30:00 AM,18.366,72.146,,,,
179,06/30/13 07:00:00 AM,18.747,71.292,,,,
180,06/30/13 07:30:00 AM,20.603,59.815,,,,
181,06/30/13 08:00:00 AM,21.533,57.880,,,,
182,06/30/13 08:30:00 AM,22.130,57.108,,,,
183,06/30/13 09:00:00 AM,23.232,55.318,,,,
184,06/30/13 09:30:00 AM,24.074,54.002,,,,
185,06/30/13 10:00:00 AM,25.283,51.043,,,,
186,06/30/13 10:30:00 AM,26.036,50.921,,,,
187,06/30/13 11:00:00 AM,27.063,49.906,,,,
188,06/30/13 11:30:00 AM,27.998,49.481,,,,
189,06/30/13 12:00:00 PM,29.290,43.653,,,,
190,06/30/13 12:30:00 PM,30.495,40.744,,,,
191,06/30/13 01:00:00 PM,31.663,37.854,,,,
192,06/30/13 01:30:00 PM,32.613,35.818,,,,
193,06/30/13 02:00:00 PM,33.730,32.610,,,,
194,06/30/13 02:30:00 PM,34.150,32.921,,,,
195,06/30/13 03:00:00 PM,34.334,31.940,,,,
196,06/30/13 03:30:00 PM,35.049,30.549,,,,
197,06/30/13 04:00:00 PM,34.730,32.284,,,,
198,06/30/13 04:30:00 PM,34.150,32.337,,,,
199,06/30/13 05:00:00 PM,34.281,33.687,,,,
200,06/30/13 05:30:00 PM,33.678,34.454,,,,
201,06/30/13 06:00:00 PM,32.691,40.075,,,,
202,06/30/13 06:30:00 PM,32.175,41.991,,,,
203,06/30/13 07:00:00 PM,30.798,43.264,,,,
204,06/30/13 07:30:00 PM,28.891,49.209,,,,
205,06/30/13 08:00:00 PM,27.308,50.259,,,,
