plot,date,device,quad,reading
PPW1334,20150507,ack,B2,6.6
PPW1334,20150507,ack,B1,3.1
PPW1334,20150507,ack,C1,6.3
PPW1334,20150507,ack,C2,6.6
PPW1334,20150507,ack,C3,5.7
PPW1334,20150507,ack,C4,3.4
PPW1334,20150507,ack,D4,4
PPW1334,20150507,ack,D3,6.3
PPW1334,20150507,ack,D2,4.7
PPW1334,20150507,ack,D1,5.3
,,,,
PPW1333,20150505,ack,A1,5.9
PPW1333,20150505,ack,A2,6.8
PPW1333,20150505,ack,A3,10.4
PPW1333,20150505,ack,A4,6.5
PPW1333,20150505,ack,B4,6.8
PPW1333,20150505,ack,B3,6.3
PPW1333,20150505,ack,B2,8.3
PPW1333,20150505,ack,B1,5.9
PPW1333,20150505,ack,C1,4.2
PPW1333,20150505,ack,C2,8.6
PPW1333,20150505,ack,C3,5.8
PPW1333,20150505,ack,C4,5.2
PPW1333,20150505,ack,D4,7.4
PPW1333,20150505,ack,D3,6.9
PPW1333,20150505,ack,D2,4.8
PPW1333,20150505,ack,D1,5.4
,,,,
PPW1326,20150505,ack,A1,6.7
PPW1326,20150505,ack,A2,8.5
PPW1326,20150505,ack,A3,8.9
PPW1326,20150505,ack,A4,7
PPW1326,20150505,ack,B4,8.2
PPW1326,20150505,ack,B3,7.6
PPW1326,20150505,ack,B2,9.9
PPW1326,20150505,ack,B1,7.8
PPW1326,20150505,ack,C1,5.7
PPW1326,20150505,ack,C2,5.9
PPW1326,20150505,ack,C3,8.3
PPW1326,20150505,ack,C4,8.2
PPW1326,20150505,ack,D4,9.4
PPW1326,20150505,ack,D3,7.5
PPW1326,20150505,ack,D2,7.2
PPW1326,20150505,ack,D1,6.7
,,,,
PPW1317,20150505,ack,A1,3.8
PPW1317,20150505,ack,A2,3.9
PPW1317,20150505,ack,A3,5.5
PPW1317,20150505,ack,A4,4.8
PPW1317,20150505,ack,B4,5.9
PPW1317,20150505,ack,B3,4.6
PPW1317,20150505,ack,B2,3.1
PPW1317,20150505,ack,B1,3.3
PPW1317,20150505,ack,C1,4
PPW1317,20150505,ack,C2,3.2
PPW1317,20150505,ack,C3,7
PPW1317,20150505,ack,C4,5.6
PPW1317,20150505,ack,D4,4.6
PPW1317,20150505,ack,D3,4.9
PPW1317,20150505,ack,D2,3
PPW1317,20150505,ack,D1,4.5
,,,,
PPW1306,20150505,ack,A1,23.5
PPW1306,20150505,ack,A2,12
PPW1306,20150505,ack,A3,20.5
PPW1306,20150505,ack,A4,14.5
PPW1306,20150505,ack,B4,15.2
PPW1306,20150505,ack,B3,17.9
PPW1306,20150505,ack,B2,14.1
PPW1306,20150505,ack,B1,15.2
PPW1306,20150505,ack,C1,22.2
PPW1306,20150505,ack,C2,18.5
PPW1306,20150505,ack,C3,18.7
PPW1306,20150505,ack,C4,22.2
PPW1306,20150505,ack,D4,10.3
PPW1306,20150505,ack,D3,19.5
PPW1306,20150505,ack,D2,25.5
PPW1306,20150505,ack,D1,NA
,,,,
PPW1337,20150505,ack,A1,13.9
PPW1337,20150505,ack,A2,11
PPW1337,20150505,ack,A3,12.8
PPW1337,20150505,ack,A4,7.1
PPW1337,20150505,ack,B4,8.8
PPW1337,20150505,ack,B3,8.2
PPW1337,20150505,ack,B2,9.9
PPW1337,20150505,ack,B1,8
PPW1337,20150505,ack,C1,10
PPW1337,20150505,ack,C2,7.9
PPW1337,20150505,ack,C3,10.1
PPW1337,20150505,ack,C4,8.6
PPW1337,20150505,ack,D4,6.4
