"Plot","Species","Num.Seedlings","Num.Juveniles","Total.Number"
"PPW1301","ARCMAN",0,2,2
"PPW1301","NOTDEN",0,0,0
"PPW1301","PSEMEN",0,1,1
"PPW1301","UMBCAL",0,1,1
"PPW1302","BACPIL",0,0,0
"PPW1302","QUEAGR",66,173,239
"PPW1302","UMBCAL",3,19,22
"PPW1303","HETARB",0,1,1
"PPW1303","PSEMEN",1,11,12
"PPW1303","QUEAGR",6,22,28
"PPW1303","QUEDEC",242,141,383
"PPW1303","UMBCAL",7,7,14
"PPW1304","HETARB",0,1,1
"PPW1304","QUEAGR",2,6,8
"PPW1304","QUEDEC",17,2,19
"PPW1304","UMBCAL",2,0,2
"PPW1305","HETARB",0,1,1
"PPW1305","PSEMEN",0,0,0
"PPW1305","QUEAGR",1,33,34
"PPW1305","UMBCAL",50,114,164
"PPW1306","ARBMEN",94,10,104
"PPW1306","PSEMEN",23,10,33
"PPW1306","QUEAGR",0,1,1
"PPW1306","UMBCAL",3,26,29
"PPW1307","ARBMEN",13,51,64
"PPW1307","ARCMAN",0,1,1
"PPW1307","BACPIL",0,1,1
"PPW1307","PSEMEN",0,1,1
"PPW1307","QUEAGR",3,32,35
"PPW1307","UMBCAL",9,48,57
"PPW1308","ARCMAN",0,1,1
"PPW1308","QUEDEC",27,16,43
"PPW1309","QUEAGR",2,3,5
"PPW1309","QUEDEC",84,11,95
"PPW1310","ARBMEN",1,0,1
"PPW1310","ARCMAN",0,1,1
"PPW1310","CEACUN",4,14,18
"PPW1310","PSEMEN",0,1,1
"PPW1310","QUEAGR",2,5,7
"PPW1310","UMBCAL",0,1,1
"PPW1311","ARCMAN",0,1,1
"PPW1311","HETARB",0,1,1
"PPW1312","ARBMEN",1,16,17
"PPW1312","HETARB",10,13,23
"PPW1312","PSEMEN",0,5,5
"PPW1312","QUEAGR",29,243,272
"PPW1312","UMBCAL",19,188,207
"PPW1313","ARBMEN",0,12,12
"PPW1313","HETARB",1,8,9
"PPW1313","QUEAGR",0,19,19
"PPW1313","UMBCAL",0,2,2
"PPW1314","HETARB",9,0,9
"PPW1314","QUEDEC",34,15,49
"PPW1314","UMBCAL",2,0,2
"PPW1315","ARBMEN",0,1,1
"PPW1315","QUEAGR",1,0,1
"PPW1315","QUEDEC",168,132,300
"PPW1315","UMBCAL",3,2,5
"PPW1316","PSEMEN",1,0,1
"PPW1316","QUEAGR",6,16,22
"PPW1316","QUEDEC",4,8,12
"PPW1316","UMBCAL",2,8,10
"PPW1317","AESCAL",1,5,6
"PPW1317","QUEAGR",2,0,2
"PPW1317","QUEDEC",135,20,155
"PPW1317","UMBCAL",2,1,3
"PPW1318","QUEAGR",12,0,12
"PPW1318","QUEDEC",174,23,197
"PPW1318","UMBCAL",1,1,2
"PPW1319","PSEMEN",0,2,2
"PPW1319","QUEAGR",8,7,15
"PPW1319","QUEDEC",21,3,24
"PPW1319","UMBCAL",10,27,37
"PPW1320","FRACAL",6,21,27
"PPW1320","HETARB",0,5,5
"PPW1320","PSEMEN",7,38,45
"PPW1320","QUEAGR",0,8,8
"PPW1320","QUEDEC",0,1,1
"PPW1320","UMBCAL",3,32,35
"PPW1321","ARBMEN",1,6,7
"PPW1321","FRACAL",0,64,64
"PPW1321","HETARB",0,1,1
"PPW1321","QUEAGR",0,13,13
"PPW1321","UMBCAL",1,95,96
"PPW1322","QUEAGR",2,29,31
"PPW1322","QUEDEC",0,2,2
"PPW1323","QUEAGR",1,1,2
"PPW1323","QUEDEC",24,0,24
"PPW1324","ARBMEN",1,6,7
"PPW1324","PSEMEN",0,1,1
"PPW1324","QUEAGR",1,0,1
"PPW1324","QUEDEC",43,38,81
"PPW1324","UMBCAL",0,6,6
"PPW1325","ARBMEN",2,4,6
"PPW1325","ARCMAN",2,8,10
"PPW1325","HETARB",3,2,5
"PPW1325","PSEMEN",1,3,4
"PPW1325","QUEAGR",9,5,14
"PPW1325","QUEDEC",95,5,100
"PPW1325","UMBCAL",0,4,4
"PPW1326","PSEMEN",0,2,2
"PPW1326","QUEAGR",0,1,1
"PPW1326","QUEDEC",1,12,13
"PPW1326","UMBCAL",10,160,170
"PPW1327","ARBMEN",0,1,1
"PPW1327","HETARB",3,9,12
"PPW1327","PSEMEN",0,6,6
"PPW1327","QUEAGR",1,3,4
"PPW1327","QUEBER",4,33,37
"PPW1327","QUEDEC",0,4,4
"PPW1327","UMBCAL",0,6,6
"PPW1327","UNK21",0,1,1
"PPW1328","FRACAL",88,89,177
"PPW1328","HETARB",3,6,9
"PPW1328","PSEMEN",17,368,385
"PPW1328","QUEAGR",19,38,57
"PPW1328","QUEDEC",1,0,1
"PPW1328","UMBCAL",8,16,24
"PPW1329","PSEMEN",0,2,2
"PPW1329","QUEAGR",7,4,11
"PPW1329","QUEDEC",1,2,3
"PPW1329","UMBCAL",1,9,10
"PPW1330","AMOCAL",0,5,5
"PPW1330","ARCMAN",0,1,1
"PPW1330","FRACAL",0,6,6
"PPW1330","HETARB",0,6,6
"PPW1330","PSEMEN",0,4,4
"PPW1330","QUEAGR",0,23,23
"PPW1330","QUEDEC",1,10,11
"PPW1330","UMBCAL",6,99,105
"PPW1331","ARBMEN",0,1,1
"PPW1331","HETARB",0,5,5
"PPW1331","PSEMEN",1,0,1
"PPW1331","QUEAGR",0,1,1
"PPW1331","UMBCAL",0,21,21
"PPW1332","AESCAL",1,12,13
