Plot: `1327,Date,20191211,,Surveyors:,"MK, CVH",Severity:,NA/HIGH
,,,,,,,
Dominant Species,% Leaf Scorch,Living < 1m?   ,,Fire-induced  Mortality?,New Wounds?,Post-Fire Seeds Present?   ,B-sprouts
FRACAL,,Y   N ,,Y   N ,Y   N ,Y   N ,S  A  D  G  NA
PSEMEM,90,N,,Y,Y,N,NA
QUEAGRI,100,N,,Y,Y,N,D
QUEBER,100,N,,Y,Y,N,D
ARBMEN,100,N,,N,Y,Y,S A 
QUEBEGA,100,N,,Y,Y,N,S D
UMBCAL,100,N,,Y,Y,N,S D
HETARB,100,N,,Y,Y,N,S D
,,,,,,,
% Ground Charred:,2/100,,,H'wood Trunk Char Height (m):,,8,
,,,,Doug Fir Trunk Char Height (m):,,8,
Leaf Freeze Direction: NW,,,,Doug Fir Needle Scorch Height (m):,,15,
,,,,,,,
Hobo Damaged: Y,,,,Hobo Downloaded: Y,,,
,,,,,,,
"SHIELD MELTED, HOBO DAMAGED BUT ONLINE",,,,,,,FOR MH:
,,,,,,,YES
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
