Plot: 1312,Date,20191111,,Surveyors:,"MK, MO, DA, MH, TC, LB, KR",Severity:,NA/HIGH
,,,,,,,
Dominant Species,% Leaf Scorch,Living < 1m?   ,,Fire-induced  Mortality?,New Wounds?,Post-Fire Seeds Present?   ,B-sprouts
ARBMEN,15,Y,,N,Y,Y,NA
UMBCAL,75,Y,,Y,N,N,NA
QUEKEL,25,N,,N,N,N,NA
QUEAGRI,5,Y,,Y,Y,Y,NA
HETARB,100,N,,Y,Y,Y,NA
PSEMEN,75,N,,Y,N,N,NA
,,,,,,,
% Ground Charred:,2/90,,,H'wood Trunk Char Height (m):,,3,
,,,,Doug Fir Trunk Char Height (m):,,0.5,
Leaf Freeze Direction: W,,,,Doug Fir Needle Scorch Height (m):,,3,
,,,,,,,
Hobo Damaged: Y,,,,Hobo Downloaded: Y,,,
,,,,,,,
Notes: SHIELD DAMAGED LOGGER OKAY,,,,,,,FOR MH:
,,,,,,,YES 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
